实现,规模,模数,线程数,平均时间(秒),标准差,最小时间,最大时间,结果验证
ntt_crt_arbitrary_pthread,1000,100000000000000000,2,0.007261,0.000280,0.006894,0.007574,PASS
ntt_crt_arbitrary_pthread,1000,100000000000000000,4,0.007504,0.000393,0.006951,0.007831,PASS
ntt_crt_arbitrary_pthread,1000,100000000000000000,8,0.007744,0.000386,0.007371,0.008275,PASS
ntt_crt_arbitrary_openmp,1000,100000000000000000,1,0.008629,0.000246,0.008394,0.008968,PASS
ntt_crt_arbitrary_openmp,1000,100000000000000000,2,0.007470,0.000053,0.007399,0.007528,PASS
ntt_crt_arbitrary_openmp,1000,100000000000000000,4,0.006796,0.000139,0.006665,0.006989,PASS
ntt_crt_arbitrary_openmp,1000,100000000000000000,8,0.008811,0.000529,0.008143,0.009438,PASS
ntt_serial,1000,1000000000000000000,1,N/A,N/A,N/A,N/A,FAIL_TIMING_NO_VALID_RUNS
ntt_pthread,1000,1000000000000000000,1,N/A,N/A,N/A,N/A,FAIL_EXECUTION
ntt_pthread,1000,1000000000000000000,2,N/A,N/A,N/A,N/A,FAIL_EXECUTION
ntt_pthread,1000,1000000000000000000,4,N/A,N/A,N/A,N/A,FAIL_EXECUTION
ntt_pthread,1000,1000000000000000000,8,N/A,N/A,N/A,N/A,FAIL_EXECUTION
ntt_pthread_optimized,1000,1000000000000000000,1,N/A,N/A,N/A,N/A,FAIL_EXECUTION
ntt_pthread_optimized,1000,1000000000000000000,2,N/A,N/A,N/A,N/A,FAIL_EXECUTION
ntt_pthread_optimized,1000,1000000000000000000,4,N/A,N/A,N/A,N/A,FAIL_EXECUTION
ntt_pthread_optimized,1000,1000000000000000000,8,N/A,N/A,N/A,N/A,FAIL_EXECUTION
ntt_openmp,1000,1000000000000000000,1,N/A,N/A,N/A,N/A,FAIL_EXECUTION
ntt_openmp,1000,1000000000000000000,2,N/A,N/A,N/A,N/A,FAIL_EXECUTION
ntt_openmp,1000,1000000000000000000,4,N/A,N/A,N/A,N/A,FAIL_EXECUTION
ntt_openmp,1000,1000000000000000000,8,N/A,N/A,N/A,N/A,FAIL_EXECUTION
ntt_crt_arbitrary_serial,1000,1000000000000000000,1,0.036320,0.000100,0.036223,0.036457,PASS
ntt_crt_arbitrary_pthread,1000,1000000000000000000,1,0.037263,0.000258,0.036899,0.037457,PASS
ntt_crt_arbitrary_pthread,1000,1000000000000000000,2,0.036352,0.000201,0.036151,0.036626,PASS
ntt_crt_arbitrary_pthread,1000,1000000000000000000,4,0.036706,0.000128,0.036525,0.036800,PASS
ntt_crt_arbitrary_pthread,1000,1000000000000000000,8,0.036747,0.000104,0.036616,0.036870,PASS
ntt_crt_arbitrary_openmp,1000,1000000000000000000,1,0.036201,0.000091,0.036074,0.036279,PASS
ntt_crt_arbitrary_openmp,1000,1000000000000000000,2,0.036438,0.000976,0.035277,0.037666,PASS
ntt_crt_arbitrary_openmp,1000,1000000000000000000,4,0.036396,0.000560,0.035934,0.037184,PASS
ntt_crt_arbitrary_openmp,1000,1000000000000000000,8,0.037800,0.000216,0.037539,0.038068,PASS
