实现,规模,模数,线程数,平均时间(秒),标准差,最小时间,最大时间,结果验证
ntt_pthread_optimized,10000,104857601,2,0.056882,0.001892,0.054436,0.059043,PASS
ntt_pthread_optimized,10000,104857601,4,0.063794,0.008554,0.051741,0.070715,PASS
ntt_pthread_optimized,10000,104857601,8,0.057535,0.010717,0.047026,0.072248,PASS
ntt_openmp,10000,104857601,1,0.045582,0.008126,0.036041,0.055900,PASS
ntt_openmp,10000,104857601,2,0.040106,0.012177,0.030437,0.057281,PASS
ntt_openmp,10000,104857601,4,0.033257,0.006899,0.027922,0.042999,PASS
ntt_openmp,10000,104857601,8,0.046693,0.011412,0.030722,0.056688,PASS
ntt_crt_arbitrary_serial,10000,104857601,1,0.094525,0.007394,0.084668,0.102476,PASS
ntt_crt_arbitrary_pthread,10000,104857601,1,0.083069,0.007348,0.073536,0.091419,PASS
ntt_crt_arbitrary_pthread,10000,104857601,2,0.064660,0.019507,0.050851,0.092247,PASS
ntt_crt_arbitrary_pthread,10000,104857601,4,0.083125,0.012490,0.069692,0.099774,PASS
ntt_crt_arbitrary_pthread,10000,104857601,8,0.073514,0.006865,0.068554,0.083222,PASS
ntt_crt_arbitrary_openmp,10000,104857601,1,0.116069,0.014001,0.105809,0.135865,PASS
ntt_crt_arbitrary_openmp,10000,104857601,2,0.063242,0.010466,0.048807,0.073293,PASS
ntt_crt_arbitrary_openmp,10000,104857601,4,0.064674,0.009224,0.055451,0.077274,PASS
ntt_crt_arbitrary_openmp,10000,104857601,8,0.066095,0.014712,0.045631,0.079579,PASS
ntt_serial,10000,469762049,1,0.028695,0.000801,0.027880,0.029784,PASS_REF_SELF_SKIP
ntt_pthread,10000,469762049,1,0.052155,0.004806,0.045365,0.055818,PASS
ntt_pthread,10000,469762049,2,0.042974,0.004391,0.038034,0.048702,PASS
ntt_pthread,10000,469762049,4,0.051641,0.014097,0.040083,0.071488,PASS
ntt_pthread,10000,469762049,8,0.052270,0.007848,0.042433,0.061640,PASS
ntt_pthread_optimized,10000,469762049,1,0.035465,0.006273,0.030456,0.044310,PASS
ntt_pthread_optimized,10000,469762049,2,0.064223,0.004530,0.059132,0.070136,PASS
ntt_pthread_optimized,10000,469762049,4,0.060066,0.002615,0.056408,0.062365,PASS
ntt_pthread_optimized,10000,469762049,8,0.044394,0.005885,0.036271,0.050025,PASS
ntt_openmp,10000,469762049,1,0.051568,0.005063,0.046643,0.058532,PASS
ntt_openmp,10000,469762049,2,0.028218,0.005674,0.023770,0.036226,PASS
ntt_openmp,10000,469762049,4,0.038783,0.005192,0.031965,0.044553,PASS
ntt_openmp,10000,469762049,8,0.045501,0.007386,0.036220,0.054291,PASS
ntt_crt_arbitrary_serial,10000,469762049,1,0.059975,0.004502,0.055177,0.065998,PASS
ntt_crt_arbitrary_pthread,10000,469762049,1,0.051292,0.009814,0.039789,0.063770,PASS
ntt_crt_arbitrary_pthread,10000,469762049,2,0.067523,0.010568,0.052644,0.076180,PASS
